COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
25254683,761104582,,387525,35839,35848,761104582,BOTOŞANI,,,,SCOALA GIMNAZIALA NR.1 RACHITI,SCOALA GIMNAZIALA NR 1 RACHITI,RĂCHIŢI,,,
21683666,761104365,,7391057,39266,39275,761104365,BOTOŞANI,,,,LICEUL TEHNOLOGIC TODIRENI,LICEUL TEHNOLOGIC TODIRENI,TODIRENI,,,
,762103328,761104487,,37459,37538,762103328,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR. 2 VANATORI,GRADINITA CU PROGRAM NORMAL NR 2 VANATORI,VÂNĂTORI,VANATORI,,
,762102422,761100153,3904051,38633,38651,762102422,BOTOŞANI,,,,SCOALA GIMNAZIALA NR. 2 MIORCANI,SCOALA GIMNAZIALA NR 2 MIORCANI,MIORCANI,,,
,762104112,761104415,,35946,35955,762104112,BOTOŞANI,,,20,GRADINITA CU PROGRAM NORMAL NR. 3 DARABANI,GRADINITA CU PROGRAM NORMAL NR 3 DARABANI,DARABANI,CRINILOR,,
,762100352,761104772,,38063,38134,762100352,BOTOŞANI,,,,SCOALA PRIMARA NR. 4 CUCORANI,SCOALA PRIMARA NR 4 CUCORANI,CUCORĂNI,CUCORANI,,
,762102847,761104822,,37547,37609,762102847,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 4 TATARASENI,GRADINITA CU PROGRAM NORMAL NR 4 TATARASENI,TĂTĂRĂŞENI,TATARASENI,,
,762100913,761105384,,37397,37431,762100913,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 4 POPENI GEORGE ENESCU,GRADINITA CU PROGRAM NORMAL NR 4 POPENI GEORGE ENESCU,POPENI,POPENI,,
,762102214,761104623,,39967,38223,762102214,BOTOŞANI,,,,SCOALA PRIMARA NR. 1 TALPA,SCOALA PRIMARA NR 1 TALPA,TALPA,TALPA,,
,762101742,761104736,,37057,37093,762101742,BOTOŞANI,,,,SCOALA PRIMARA NR. 2 STRAHOTIN,SCOALA PRIMARA NR 2 STRAHOTIN,STRAHOTIN,STRAHOTIN,,
,762103925,761104668,,37672,37716,762103925,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR. 2 HILISEU-CRISAN,GRADINITA CU PROGRAM NORMAL NR 2 HILISEU CRISAN,HILIŞEU-CRIŞAN,HILISEU-CRISAN,,
,762103676,761105303,,36131,36195,762103676,BOTOŞANI,,,,SCOALA GIMNAZIALA NR.2 TUDOR VLADIMIRESCU ALBESTI,SCOALA GIMNAZIALA NR 2 TUDOR VLADIMIRESCU ALBESTI,TUDOR VLADIMIRESCU,TUDOR VLADIMIRESCU,,
,762105452,761104406,,35731,35740,762105452,BOTOŞANI,,,18,"""GRADINITA CU PROGRAM PRELUNGIT """"LIZUCA"""" BOTOSANI""",GRADINITA CU PROGRAM PRELUNGIT LIZUCA BOTOSANI,BOTOŞANI,OCTAV ONICESCU,,
