COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
29373769,361104326,,1066853,13169,13178,361104326,ARGEŞ,,,4,"""ȘCOALA GIMNAZIALĂ """"I.L. CARAGIALE"""" PITEȘTI""",SCOALA GIMNAZIALA I L CARAGIALE PITESTI,PITEŞTI,PETRACHE POENARU,,
4469418,361104638,,334897,18162,18171,361104638,ARGEŞ,,,121,"""ȘCOALA GIMNAZIALĂ """"VICTOR ȚÂRCOVNICUL"""" POPEȘTI""",SCOALA GIMNAZIALA VICTOR TARCOVNICUL POPESTI,POPEŞTI,PRINCIPALĂ,,
,362101092,361103655,,14272,14316,362101092,ARGEŞ,,,1,ȘCOALA GIMNAZIALĂ POIENIȚA,SCOALA GIMNAZIALA POIENITA,POIENIŢA,PRINCIPALĂ,,
,362100851,361105033,,14940,14986,362100851,ARGEŞ,,,1,ȘCOALA PRIMARĂ CORNĂȚEL,SCOALA PRIMARA CORNATEL,CORNĂŢEL,PRINCIPALĂ,,
,362101635,361103994,,13490,13506,362101635,ARGEŞ,,,57,GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 1 CÂMPULUNG,GRADINITA CU PROGRAM PRELUNGIT NR 1 CAMPULUNG,CÂMPULUNG,,,
32033014,361206412,,32719174,13622,13631,361206412,ARGEŞ,,,10,GRADINITA CU PROGRAM PRELUNGIT SF.NICOLAE,GRADINITA CU PROGRAM PRELUNGIT SF NICOLAE,CURTEA DE ARGEŞ,EROILOR NR.,,
,362101056,361103619,,14450,14520,362101056,ARGEŞ,,,1,ȘCOALA GIMNAZIALĂ MÂNDRA,SCOALA GIMNAZIALA MANDRA,MÂNDRA,COMUNAL BARLA,,
,362105146,361104525,,18242,18251,362105146,ARGEŞ,,,,GRADINITA CU PROGRAM NORMAL SĂMĂILA,GRADINITA CU PROGRAM NORMAL SAMAILA,PRIBOIENI,,,
,362103004,361104665,,17209,17236,362103004,ARGEŞ,,,,ŞCOALA PRIMARĂ NR.2,SCOALA PRIMARA NR 2,PĂULEASCA,,,
,362102758,361104267,,17771,17780,362102758,ARGEŞ,,,,ŞCOALA PRIMARĂ PETRE CHELU,SCOALA PRIMARA PETRE CHELU,NUCŞOARA,,,
,362102975,361104674,,17254,17316,362102975,ARGEŞ,,,,ŞCOALA GIMNAZIALĂ VALEA POPII,SCOALA GIMNAZIALA VALEA POPII,VALEA POPII,,,
,362105259,361103388,,18741,18750,362105259,ARGEŞ,,,,GRĂDINIŢA CU PROGRAM NORMAL NR.1,GRADINITA CU PROGRAM NORMAL NR 1,SLOBOZIA,,,
,362101956,361104371,,19793,19980,362101956,ARGEŞ,,,,GRĂDINIŢA CU PROGRAM NORMAL VÂRSEȘTI,GRADINITA CU PROGRAM NORMAL VARSESTI,VÂRŞEŞTI,PRINCIPALĂ,,
4122574,361103361,,331322,13392,13409,361103361,ARGEŞ,,,1,"""ȘCOALA GIMNAZIALĂ """"CONSTANTIN BRÂNCOVEANU"""" ȘTEFĂNEȘTI""",SCOALA GIMNAZIALA CONSTANTIN BRANCOVEANU STEFANESTI,ŞTEFĂNEŞTI,CAVALERULUI,,
28638247,361104403,,335136,18554,18563,361104403,ARGEŞ,,,73,"""ȘCOALA GIMNAZIALĂ """"RADU ȘERBAN"""" SĂLĂTRUCU""",SCOALA GIMNAZIALA RADU SERBAN SALATRUCU,SĂLĂTRUCU,RADU ȘERBAN,,
,362101409,361105101,,13490,13506,362101409,ARGEŞ,,,72A,GRĂDINIȚA CU PROGRAM NORMAL NR. 4 DRĂCEȘTI,GRADINITA CU PROGRAM NORMAL NR 4 DRACESTI,CÂMPULUNG,DRĂCEŞTI,,
4971944,361103985,,335671,19338,19347,361103985,ARGEŞ,,,1,"""ȘCOALA GIMNAZIALĂ """"I.C. LĂZĂRESCU"""" ȚIȚEȘTI""",SCOALA GIMNAZIALA I C LAZARESCU TITESTI,ŢIŢEŞTI,PRINCIPALĂ,,
,362100462,361104317,,15493,15527,362100462,ARGEŞ,,,1,ȚCOALA PRIMARĂ NR. 1 LACURILE,TCOALA PRIMARA NR 1 LACURILE,LACURILE,PRINCIPALĂ,,
,362106192,361104136,,18411,18448,362106192,ARGEŞ,,,GG,SCOALA GIMNAZIALA DEAGURILE,SCOALA GIMNAZIALA DEAGURILE,DEAGU DE SUS,FF,,
,362106441,341104551,,13169,13178,362106441,ARGEŞ,,,15,CENTRUL LOGOPEDIC,CENTRUL LOGOPEDIC,PITEŞTI,PITESTI,,
,362102568,361103578,,20048,18224,362102568,ARGEŞ,,,,GRĂDINIŢA CU PROGRAM NORMAL RÂCA,GRADINITA CU PROGRAM NORMAL RACA,RÂCA,,,
,362102699,361104706,,17851,17888,362102699,ARGEŞ,,,,ŞCOALA PRIMARĂ GĂNEŞTI,SCOALA PRIMARA GANESTI,GĂNEŞTI,DJ 731,,
29373652,361104344,,336197,13169,13178,361104344,ARGEŞ,,,3,"""ȘCOALA GIMNAZIALĂ """"TUDOR VLADIMIRESCU"""" PITEȘTI""",SCOALA GIMNAZIALA TUDOR VLADIMIRESCU PITESTI,PITEŞTI,Călugăreni,,
4469469,361104041,,333228,15901,15947,361104041,ARGEŞ,,,1,"""ȘCOALA GIMNAZIALĂ """"IORDACHE PĂCESCU"""" COȘEȘTI""",SCOALA GIMNAZIALA IORDACHE PACESCU COSESTI,LEICEŞTI,PRINCIPALĂ,,
,362105752,361103872,,13365,13374,362105752,ARGEŞ,,,,GRĂDINIŢA CIU PROGRAM NORMAL LOTAŞI- MĂRĂCINENI,GRADINITA CIU PROGRAM NORMAL LOTASI MARACINENI,MĂRĂCINENI,,,
,362100697,361104059,,15108,15224,362100697,ARGEŞ,,,1,ȘCOALA GIMNAZIALĂ VĂLENI-PODGORIA,SCOALA GIMNAZIALA VALENI PODGORIA,VĂLENI-PODGORIA,PRINCIPALĂ,,
31735975,361204699,,32712255,13169,13178,361204699,ARGEŞ,,,5,GRĂDINIŢA AŞCHIUŢĂ,GRADINITA ASCHIUTA,PITEŞTI,ion balaceanu,,
,362100878,361103411,,20063,13908,362100878,ARGEŞ,,,222,ȘCOALA PRIMARĂ BUGHIȚA,SCOALA PRIMARA BUGHITA,BUGHEA DE SUS,PRINCIPALĂ,,
29412751,361100046,,326370,13169,13178,361100046,ARGEŞ,,,84,"""GRĂDINIȚA CU PROGRAM PRELUNGIT """"PRIMII PAȘI"""" PITEȘTI""",GRADINITA CU PROGRAM PRELUNGIT PRIMII PASI PITESTI,PITEŞTI,REPUBLICII,,
,362101617,361104801,,13490,13506,362101617,ARGEŞ,,,97,GRĂDINIȚA CU PROGRAM NORMAL NR. 7 CÂMPULUNG,GRADINITA CU PROGRAM NORMAL NR 7 CAMPULUNG,CÂMPULUNG,Negru Vodă,,
29836170,361206439,,32565315,13169,13178,361206439,ARGEŞ,,,29,GRADINITA CU PROGRAM PRELUNGIT INGERASII,GRADINITA CU PROGRAM PRELUNGIT INGERASII,PITEŞTI,DIRZULUI,,
29414558,361103795,,332078,14352,14398,361103795,ARGEŞ,,,44,ȘCOALA GIMNAZIALĂ BELEȚI-NEGREȘTI,SCOALA GIMNAZIALA BELETI NEGRESTI,NEGREŞTI,PRINCIPALĂ,,
,362102731,361104095,,17824,17833,362102731,ARGEŞ,,,,ŞCOALA PRIMARĂ OARJA,SCOALA PRIMARA OARJA,OARJA,,,
,362105508,361104837,,13169,13178,362105508,ARGEŞ,,,,GRĂDINIŢA CU PROGRAM NORMAL NR.6 PITEŞTI,GRADINITA CU PROGRAM NORMAL NR 6 PITESTI,PITEŞTI,,,
