COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
14109939,1761201371,,9922835,75098,75105,1761201371,GALAŢI,,,10,"""GRADINITA CU PROGRAM PRELUNGIT “BAMBI”"," LOCALITATEA GALATI""",GRADINITA CU PROGRAM PRELUNGIT “BAMBI LOCALITATEA GALATI,GALAŢI,PRUNARI,
,1762104159,1761104394,,76157,76166,1762104159,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1"," COMUNA CUDALBI""",GRADINITA CU PROGRAM NORMAL NR 1 COMUNA CUDALBI,CUDALBI,,
3126926,1761100024,,497435,75098,75105,1761100024,GALAŢI,,,161B,"""COLEGIUL NATIONAL """"MIHAIL KOGALNICEANU"""""," LOCALITATEA GALATI""",COLEGIUL NATIONAL MIHAIL KOGALNICEANU LOCALITATEA GALATI,GALAŢI,BRAILEI,
,1762102252,1761101278,,75150,75187,1762102252,GALAŢI,,,,"""SCOALA GIMNAZIALA """"MARIA GRECU""""", SAT ODAIA MANOLACHE," COMUNA VANATORI""",SCOALA GIMNAZIALA MARIA GRECU SAT ODAIA MANOLACHE COMUNA VANATORI,ODAIA MANOLACHE,
,1762102709,1761100205,,76255,76264,1762102709,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.2"," COMUNA FARTANESTI""",GRADINITA CU PROGRAM NORMAL NR 2 COMUNA FARTANESTI,FÂRŢĂNEŞTI,,
,1762103868,1761101242,,75098,75105,1762103868,GALAŢI,,,9A,"""SCOALA GIMNAZIALA """"GHEORGHE MUNTEANU"""""," LOCALITATEA GALATI""",SCOALA GIMNAZIALA GHEORGHE MUNTEANU LOCALITATEA GALATI,GALAŢI,CAMIL RESSU,
29073841,1761101735,,495061,75098,75105,1761101735,GALAŢI,,,,"""SCOALA GIMNAZIALA NR.26"," LOCALITATEA GALATI""",SCOALA GIMNAZIALA NR 26 LOCALITATEA GALATI,GALAŢI,VADUL SACALELOR NR. 2,
,1762103072,1761104408,,75686,75702,1762103072,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1", SAT ROSCANI," COMUNA BANEASA""",GRADINITA CU PROGRAM NORMAL NR 1 SAT ROSCANI COMUNA BANEASA,ROŞCANI,
26905941,1761201597,,1601576,75203,75212,1761201597,GALAŢI,,,69,"""SCOALA POSTLICEALA “CAROL DAVILA”"," LOCALITATEA TECUCI""",SCOALA POSTLICEALA “CAROL DAVILA LOCALITATEA TECUCI,TECUCI,TECUCIUL NOU,
,1762103615,1761100119,,75098,75105,1762103615,GALAŢI,,,8,"""GRADINITA CU PROGRAM NORMAL """"TWEETY"""""," LOCALITATEA GALATI""",GRADINITA CU PROGRAM NORMAL TWEETY LOCALITATEA GALATI,GALAŢI,T.VLADIMIRESCU,
,1762102754,1761100779,,77028,77046,1762102754,GALAŢI,,,,"""SCOALA GIMNAZIALA NR.1", SAT CIORASTI," COMUNA PRIPONESTI""",SCOALA GIMNAZIALA NR 1 SAT CIORASTI COMUNA PRIPONESTI,CIORĂŞTI,
29084158,1761101138,,494081,76692,76709,1761101138,GALAŢI,,,,"""GRADINITA CU PROGRAM PRELUNGIT NR.1"," COMUNA MATCA""",GRADINITA CU PROGRAM PRELUNGIT NR 1 COMUNA MATCA,MATCA,,
14179756,1761101251,,497071,77180,77199,1761101251,GALAŢI,,,,"""SCOALA GIMNAZIALA NR.1"," COMUNA SLOBOZIA CONACHI""",SCOALA GIMNAZIALA NR 1 COMUNA SLOBOZIA CONACHI,SLOBOZIA CONACHI,,
,1762103909,1761101536,,77561,75579,1762103909,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1", SAT CRUCEANU," COMUNA RADESTI""",GRADINITA CU PROGRAM NORMAL NR 1 SAT CRUCEANU COMUNA RADESTI,CRUCEANU,
,1762102062,1761100725,,75953,75962,1762102062,GALAŢI,,,,"""SCOALA GIMNAZIALA NR.1"," COMUNA COROD""",SCOALA GIMNAZIALA NR 1 COMUNA COROD,COROD,,
16181914,1761100933,,170495310,75258,75267,1761100933,GALAŢI,,,,"""SCOALA GIMNAZIALA NR.1"," COMUNA MUNTENI""",SCOALA GIMNAZIALA NR 1 COMUNA MUNTENI,MUNTENI,EROILOR,
,1762102279,1761101278,,75150,75178,1762102279,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1", SAT COSTI," COMUNA VANATORI""",GRADINITA CU PROGRAM NORMAL NR 1 SAT COSTI COMUNA VANATORI,COSTI,
,1762103054,1761104408,,75686,75702,1762103054,GALAŢI,,,,"""SCOALA PRIMARA """"ION VODA CEL VITEAZ""""", SAT ROSCANI," COMUNA BANEASA""",SCOALA PRIMARA ION VODA CEL VITEAZ SAT ROSCANI COMUNA BANEASA,ROŞCANI,
,1762103669,1761101097,,75114,75123,1762103669,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1"," COMUNA SENDRENI""",GRADINITA CU PROGRAM NORMAL NR 1 COMUNA SENDRENI,ŞENDRENI,,
13629763,1761101233,,497409,75098,75105,1761101233,GALAŢI,,,41,"""COLEGIUL NATIONAL """"VASILE ALECSANDRI"""""," LOCALITATEA GALATI""",COLEGIUL NATIONAL VASILE ALECSANDRI LOCALITATEA GALATI,GALAŢI,N.BALCESCU,
3126667,1761101581,,960559,75098,75105,1761101581,GALAŢI,,,27,"""COLEGIUL TEHNIC """"PAUL DIMO"""""," LOCALITATEA GALATI""",COLEGIUL TEHNIC PAUL DIMO LOCALITATEA GALATI,GALAŢI,01.dec.18,
4322289,1761100182,,849822,75203,75212,1761100182,GALAŢI,,,,"""SCOALA GIMNAZIALA SPECIALA """"CONSTANTIN PAUNESCU"""""," LOCALITATEA TECUCI""",SCOALA GIMNAZIALA SPECIALA CONSTANTIN PAUNESCU LOCALITATEA TECUCI,TECUCI,,
,1762102044,1761100137,,76807,76843,1762102044,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1", SAT DOBRINESTI," COMUNA NICORESTI""",GRADINITA CU PROGRAM NORMAL NR 1 SAT DOBRINESTI COMUNA NICORESTI,DOBRINEŞTI,
123456,1761201647,,1613880,75203,75212,1761201647,GALAŢI,,,2D,"""GRADINITA CU PROGRAM PRELUNGIT """"BENTHAL"""""," LOCALITATEA TECUCI""",GRADINITA CU PROGRAM PRELUNGIT BENTHAL LOCALITATEA TECUCI,TECUCI,STEFAN O. IOSIF,
,1762104114,1761100761,,76497,76503,1762104114,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1"," COMUNA GOHOR""",GRADINITA CU PROGRAM NORMAL NR 1 COMUNA GOHOR,GOHOR,,
29112150,1761100811,,497239,77402,77466,1761100811,GALAŢI,,,,"""SCOALA GIMNAZIALA """"SF.STELIAN""""", SAT UMBRARESTI DEAL," COMUNA UMBRARESTI""",SCOALA GIMNAZIALA SF STELIAN SAT UMBRARESTI DEAL COMUNA UMBRARESTI,UMBRĂREŞTI-DEAL,
,1762100363,1761104575,,76175,76200,1762100363,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1", SAT CAUESTI," COMUNA DRAGUSENI""",GRADINITA CU PROGRAM NORMAL NR 1 SAT CAUESTI COMUNA DRAGUSENI,CĂUIEŞTI,
123456,1761200741,,1407671,75098,75105,1761200741,GALAŢI,,,23,"""GRADINITA CU PROGRAM NORMAL “LYRA”"," LOCALITATEA GALATI""",GRADINITA CU PROGRAM NORMAL “LYRA LOCALITATEA GALATI,GALAŢI,MIHAI BRAVU,
,1762102849,1761100996,,75542,75560,1762102849,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1", SAT BURSUCANI," COMUNA BALABANESTI""",GRADINITA CU PROGRAM NORMAL NR 1 SAT BURSUCANI COMUNA BALABANESTI,BURSUCANI,
