COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
,2262106813,2261102628,,98337,98355,2262106813,IAŞI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," BOROSOAIA""",GRADINITA CU PROGRAM NORMAL BOROSOAIA,BOROSOAIA,,
17155700,2261106709,,1148330,99441,99450,2261106709,IAŞI,,,,"""ȘCOALA GIMNAZIALĂ"," TANSA""",SCOALA GIMNAZIALA TANSA,TANSA,,
,2262101324,2261104707,1135632,95872,95881,2262101324,IAŞI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," BELCEȘTI""",GRADINITA CU PROGRAM NORMAL BELCESTI,BELCEŞTI,,
,2262104033,2261106288,,99058,99085,2262104033,IAŞI,,,,"""ȘCOALA GIMNAZIALĂ"," OSOI""",SCOALA GIMNAZIALA OSOI,OSOI,,
27322423 (asociatie),2261204759,,223265807,97811,97839,2261204759,IAŞI,,,,"""GRĂDINIȚA """"SFÂNTUL NICOLAE"""""," IUGANI""",GRADINITA SFANTUL NICOLAE IUGANI,IUGANI,,
24147280 (asociatie),2261205801,,223265792,95060,95079,2261205801,IAŞI,,,27,"""GRĂDINIŢA """"IRIS"""""," IAŞI""",GRADINITA IRIS IASI,IAŞI,LIPOVANA,
,2262104155,2261105269,,98685,98701,2262104155,IAŞI,,,,"""ȘCOALA GIMNAZIALĂ NR.1"," BOHOTIN""",SCOALA GIMNAZIALA NR 1 BOHOTIN,BOHOTIN,,
,2252102885,2271107077,1135565,100148,100157,2252102885,IAŞI,,,,CLUBUL COPIILOR VLĂDENI,CLUBUL COPIILOR VLADENI,VLĂDENI,,,
,2262103665,2261102533,554532,95088,95113,2262103665,IAŞI,,,,"""ȘCOALA PRIMARĂ"," PĂUN""",SCOALA PRIMARA PAUN,PĂUN,,
17140343,2262104024,2261105997,,95060,95079,2262104024,IAŞI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL NR 15"," IAŞI""",GRADINITA CU PROGRAM NORMAL NR 15 IASI,IAŞI,PACURARI NR 127,
,2262106885,2261104517,,97606,97651,2262106885,IAŞI,,,,"""ȘCOALA PRIMARĂ"," DUMBRAVA""",SCOALA PRIMARA DUMBRAVA,DUMBRAVA,,
,2262102257,2261104933,,98168,98177,2262102257,IAŞI,,,,"""ȘCOALA GIMNAZIALĂ"," MOGOŞEŞTI-SIRET""",SCOALA GIMNAZIALA MOGOSESTI SIRET,MOGOŞEŞTI-SIRET,,
17161044,2261106148,,1148031,96370,96389,2261106148,IAŞI,,,,"""ȘCOALA GIMNAZIALĂ"," OSOI""",SCOALA GIMNAZIALA OSOI,OSOI,,
,2262103077,2261106035,,99968,99986,2262103077,IAŞI,,,,"""ȘCOALA GIMNAZIALĂ"," CONŢEŞTI""",SCOALA GIMNAZIALA CONTESTI,CONŢEŞTI,,
,2262100314,2261106302,551009,98257,98266,2262100314,IAŞI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," MOVILENI""",GRADINITA CU PROGRAM NORMAL MOVILENI,MOVILENI,,
,2262101505,2261105613,,98916,98961,2262101505,IAŞI,,,,"""ȘCOALA PRIMARĂ"," LUNCA RATEŞ""",SCOALA PRIMARA LUNCA RATES,LUNCA RATEŞ,,
,2262104327,2261104603,,95391,95408,2262104327,IAŞI,,,,"""GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 1"," PAŞCANI""",GRADINITA CU PROGRAM PRELUNGIT NR 1 PASCANI,PAŞCANI,,
,2262103611,2261105581,,96110,96129,2262103611,IAŞI,,,,"""ȘCOALA PRIMARĂ"," BUTEA""",SCOALA PRIMARA BUTEA,BUTEA,,
17126462,2261105495,,551736,98774,98809,2261105495,IAŞI,,,,"""ȘCOALA GIMNAZIALĂ"," REDIU""",SCOALA GIMNAZIALA REDIU,REDIU,,
4541688,2261105726,,545737,95060,95079,2261105726,IAŞI,,,13,"""LICEUL TEORETIC """"DIMITRIE CANTEMIR"""""," IAŞI""",LICEUL TEORETIC DIMITRIE CANTEMIR IASI,IAŞI,Str. Decebal,
32215261,2261106686,,222054378,95060,95079,2261106686,IAŞI,,,25A,"""GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 22"," IAŞI""",GRADINITA CU PROGRAM PRELUNGIT NR 22 IASI,IAŞI,STR. CIRIC,
17165275,2261105884,,547591,96003,96012,2261105884,IAŞI,,,,"""ȘCOALA GIMNAZIALĂ"," BOSIA""",SCOALA GIMNAZIALA BOSIA,BOSIA,,
,2262101342,2261105694,551425,98505,98587,2262101342,IAŞI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," VÎNĂTORI""",GRADINITA CU PROGRAM NORMAL VINATORI,VÂNĂTORI,,
27683355,2241105006,,223265871,95060,95079,2241105006,IAŞI,,,110,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ IAȘI,CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA IASI,IAŞI,Bld. Socola,,
,2262106831,2261102569,,95159,95202,2262106831,IAŞI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," RUSENII NOI""",GRADINITA CU PROGRAM NORMAL RUSENII NOI,RUSENII NOI,,
4540089,2261105554,,545763,95060,95079,2261105554,IAŞI,,,189,"""COLEGIUL TEHNIC """"GHEORGHE ASACHI"""""," IAŞI""",COLEGIUL TEHNIC GHEORGHE ASACHI IASI,IAŞI,SARARIEI,
,2262102067,2261105174,,99370,99414,2262102067,IAŞI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," IAZU NOU""",GRADINITA CU PROGRAM NORMAL IAZU NOU,IAZU NOU,,
,2262103448,2261106632,546793,95391,95453,2262103448,IAŞI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," SODOMENI""",GRADINITA CU PROGRAM NORMAL SODOMENI,SODOMENI,,
,2262100938,2261105147,,96815,96879,2262100938,IAŞI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," SLOBOZIA""",GRADINITA CU PROGRAM NORMAL SLOBOZIA,SLOBOZIA,,
17145324,2261106356,,549123,97009,97018,2261106356,IAŞI,,,,"""ȘCOALA GIMNAZIALĂ ”CONSTANTIN ERBICEANU”"," ERBICENI""",SCOALA GIMNAZIALA CONSTANTIN ERBICEANU ERBICENI,ERBICENI,,
32215431,2261104603,,222054433,95391,95408,2261104603,IAŞI,,,,"""GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 2"," PAŞCANI""",GRADINITA CU PROGRAM PRELUNGIT NR 2 PASCANI,PAŞCANI,"""SPORTULUI"," NR11"""
,2262104137,2261106166,,97517,97535,2262104137,IAŞI,,,,"""ȘCOALA GIMNAZIALĂ"," BOGDĂNEŞTI""",SCOALA GIMNAZIALA BOGDANESTI,BOGDĂNEŞTI,,
17165267,2261105364,,550770,98113,98122,2261105364,IAŞI,,,,"""LICEUL TEHNOLOGIC „DUMITRU POPA”"," MOGOSESTI""",LICEUL TEHNOLOGIC DUMITRU POPA MOGOSESTI,MOGOŞEŞTI,,
,2262106754,2261106008,,99209,99236,2262106754,IAŞI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," CRIVEȘTI""",GRADINITA CU PROGRAM NORMAL CRIVESTI,CRIVEŞTI,,
,2262100341,2261106614,,99673,99691,2262100341,IAŞI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," ALEXENI""",GRADINITA CU PROGRAM NORMAL ALEXENI,ALEXENI,,
,2262102275,2261105224,547424,95872,95890,2262102275,IAŞI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," LITENI""",GRADINITA CU PROGRAM NORMAL LITENI,LITENI,,
,2262100698,2261104906,,98300,98328,2262100698,IAŞI,,,,"""ȘCOALA GIMNAZIALĂ"," HÎNDREŞTI""",SCOALA GIMNAZIALA HINDRESTI,HÂNDREŞTI,,
17230616,2261106166,,549850,97517,97526,2261106166,IAŞI,,,,"""ȘCOALA GIMNAZIALĂ"," HORLEŞTI""",SCOALA GIMNAZIALA HORLESTI,HORLEŞTI,,
17386110,2261104987,,553502,99780,99806,2261104987,IAŞI,,,,"""ȘCOALA GIMNAZIALĂ"," GLODENII GÎNDULUI""",SCOALA GIMNAZIALA GLODENII GINDULUI,GLODENII GÂNDULUI,,
,2262103059,2261105251,549549,97241,97250,2262103059,IAŞI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," GRAJDURI""",GRADINITA CU PROGRAM NORMAL GRAJDURI,GRAJDURI,,
17150207,2261106297,,548052,96423,96432,2261106297,IAŞI,,,,"""ȘCOALA GIMNAZIALĂ"," COSTULENI""",SCOALA GIMNAZIALA COSTULENI,COSTULENI,,
,2262102189,2261106157,1325988,99539,99557,2262102189,IAŞI,,,,"""ȘCOALA PRIMARĂ"," BĂICENI""",SCOALA PRIMARA BAICENI,BĂICENI,,
