COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
,2962104434,2961101526,642535,136241,134247,2962104434,PRAHOVA,,,211,"""GRĂDINIȚA CU PROGRAM NORMAL"," COMUNA COCORĂȘTII COLȚ""",GRADINITA CU PROGRAM NORMAL COMUNA COCORASTII COLT,COCORĂŞTII COLŢ,PRINCIPALĂ,
29006346,2961102545,,637114,132075,132084,2961102545,PRAHOVA,,,96,"""ȘCOALA GIMNAZIALĂ"," COMUNA ARICEȘTII RAHTIVANI""",SCOALA GIMNAZIALA COMUNA ARICESTII RAHTIVANI,ARICEŞTII RAHTIVANI,ARICEȘTII-RAHTIVANI,
29055578,2961102893,,6607408,131443,131452,2961102893,PRAHOVA,,,08.oct,"""ȘCOALA PROFESIONALĂ SPECIALĂ"," ORAȘUL PLOPENI""",SCOALA PROFESIONALA SPECIALA ORASUL PLOPENI,PLOPENI,REPUBLICII,
2845478,2961107446,,635441,130534,130543,2961107446,PRAHOVA,,,7,"""COLEGIUL NATIONAL """"JEAN MONNET"""""," MUNICIPIUL PLOIEȘTI""",COLEGIUL NATIONAL JEAN MONNET MUNICIPIUL PLOIESTI,PLOIEŞTI,Iorga Nicolae,
,2962106002,2961100181,639277,135020,135100,2962106002,PRAHOVA,,,216,"""ȘCOALA PRIMARĂ", SAT PALANCA," COMUNA RÎFOV""",SCOALA PRIMARA SAT PALANCA COMUNA RIFOV,PALANCA,PRINCIPALĂ
28978320,2961102097,,639291,135128,135137,2961102097,PRAHOVA,,,195,"""ȘCOALA GIMNAZIALĂ"," COMUNA SALCIA""",SCOALA GIMNAZIALA COMUNA SALCIA,SALCIA,PRINCIPALA,
29044684,2961102762,,636706,131407,131416,2961102762,PRAHOVA,,,38,"""ȘCOALA GIMNAZIALĂ """"SFÎNTUL NICOLAE"""""," ORAȘUL MIZIL""",SCOALA GIMNAZIALA SFINTUL NICOLAE ORASUL MIZIL,MIZIL,TOHANI,
,2962105209,2961100109,6505569,136134,136152,2962105209,PRAHOVA,,,32A,"""ȘCOALA PRIMARĂ", SAT COȚOFENEȘTI," COMUNA VĂRBILĂU""",SCOALA PRIMARA SAT COTOFENESTI COMUNA VARBILAU,COŢOFENEŞTI,COȚOFENEȘTI
,2962104339,2961107256,636457,131210,131229,2962104339,PRAHOVA,,,18,"""ȘCOALA GIMNAZIALĂ """"CEZAR PETRESCU"""""," ORAȘUL BUȘTENI""",SCOALA GIMNAZIALA CEZAR PETRESCU ORASUL BUSTENI,BUŞTENI,ȘCOLII,
,2962105593,2961100136,641397,131835,131853,2962105593,PRAHOVA,,,69,"""GRĂDINIȚA CU PROGRAM NORMAL", SAT BUGHEA DE JOS," COMUNA GURA VITIOAREI""",GRADINITA CU PROGRAM NORMAL SAT BUGHEA DE JOS COMUNA GURA VITIOAREI,BUGHEA DE JOS,PRINCIPALĂ
,2962103641,2961102183,639851,135850,135887,2962103641,PRAHOVA,,,51,"""ȘCOALA PRIMARĂ", SAT PISCULEȘTI," COMUNA TINOSU""",SCOALA PRIMARA SAT PISCULESTI COMUNA TINOSU,PISCULEŞTI,PISCULEȘTI
,2962103311,2961101752,849731,132075,132100,2962103311,PRAHOVA,,,46,"""ȘCOALA PROFESIONALĂ SPECIALĂ", SAT NEDELEA," COMUNA ARICEȘTII RAHTIVANI""",SCOALA PROFESIONALA SPECIALA SAT NEDELEA COMUNA ARICESTII RAHTIVANI,NEDELEA,PRINCIPALĂ
16346516,2961101526,,638730,136241,134247,2961101526,PRAHOVA,,,10,"""ȘCOALA GIMNAZIALĂ"," COMUNA COCORĂȘTII COLȚ""",SCOALA GIMNAZIALA COMUNA COCORASTII COLT,COCORĂŞTII COLŢ,PRINCIPALĂ,
2843426,2961102952,,1182269,131256,131265,2961102952,PRAHOVA,,,34,"""LICEUL TEHNOLOGIC MECANIC"," MUNICIPIUL CÂMPINA""",LICEUL TEHNOLOGIC MECANIC MUNICIPIUL CAMPINA,CÂMPINA,ECATERINA TEODOROIU,
,2962105037,2961101553,640678,130785,130829,2962105037,PRAHOVA,,,317,"""GRĂDINIȚA CU PROGRAM NORMAL NR. 1", SAT PLEAȘA," COMUNA BUCOV""",GRADINITA CU PROGRAM NORMAL NR 1 SAT PLEASA COMUNA BUCOV,PLEAŞA,PLEAȘA
,2962106947,2961107428,1104138,135547,135556,2962106947,PRAHOVA,,,367,"""GRĂDINIȚA CU PROGRAM NORMAL NR. 1"," COMUNA ȘOTRILE""",GRADINITA CU PROGRAM NORMAL NR 1 COMUNA SOTRILE,ŞOTRILE,PRINCIPALĂ,
,2962105946,2961100127,638443,133795,133857,2962105946,PRAHOVA,,,118,"""ȘCOALA GIMNAZIALĂ", SAT SCHIULEȘTI," COMUNA IZVOARELE""",SCOALA GIMNAZIALA SAT SCHIULESTI COMUNA IZVOARELE,SCHIULEŞTI,PRINCIPALĂ
,2962106662,2961101458,642133,133214,133250,2962106662,PRAHOVA,,,710,"""GRĂDINIȚA CU PROGRAM NORMAL", SAT MĂRGINENII DE JOS," COMUNA FILIPEȘTII DE TÎRG""",GRADINITA CU PROGRAM NORMAL SAT MARGINENII DE JOS COMUNA FILIPESTII DE TIRG,MĂRGINENII DE JOS,MĂRGINENII DE JOS
