COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
4201732,1461100693,,1181368,63740,63759,1461100693,COVASNA,,,8,"""Liceul Tehnologic """"Gábor Áron"""" Târgu Secuiesc""",LICEUL TEHNOLOGIC GABOR ARON TARGU SECUIESC,TÂRGU SECUIESC,01.dec.18,
26983680,1461200049,,2139831,63740,63759,1461200049,COVASNA,,,8,"""Școala Postliceală """"FEG Education"""" Târgu Secuiesc""",SCOALA POSTLICEALA FEG EDUCATION TARGU SECUIESC,TÂRGU SECUIESC,Fabricii,
,1462100951,1461100413,459342,63866,63884,1462100951,COVASNA,,,110,Grădinița cu Program Normal Belin Vale,GRADINITA CU PROGRAM NORMAL BELIN VALE,BELIN-VALE,Principală,
,1462101708,1461100182,460731,63777,63795,1462101708,COVASNA,,,112,"""Școala Gimnazială """"Benkő József"""" Aita Medie""",SCOALA GIMNAZIALA BENKŐ JÓZSEF AITA MEDIE,AITA MEDIE,Principală,
,1462102867,1461100648,460834,63893,63928,1462102867,COVASNA,,,145,"""Școala Primară """"Dávid József"""" Zălan""",SCOALA PRIMARA DAVID JÓZSEF ZALAN,ZĂLAN,Principală,
,1462102944,1461100621,459500,64096,64121,1462102944,COVASNA,,,11,Grădinița cu Program Normal Oituz,GRADINITA CU PROGRAM NORMAL OITUZ,OITUZ,Principală,
,1462101943,1461100087,460286,65011,65020,1462101943,COVASNA,,,927,"""Grădinița cu Program Normal """"Ion Creangă"""" Zagon""",GRADINITA CU PROGRAM NORMAL ION CREANGA ZAGON,ZAGON,Principală,
,1452303063,1471100594,988989,63447,63456,1452303063,COVASNA,,,52,Clubul Copiilor și Elevilor Baraolt,CLUBUL COPIILOR SI ELEVILOR BARAOLT,BARAOLT,Kossuth Lajos,
,1462101382,1461100277,461046,64130,64176,1462101382,COVASNA,,,114,Școala Gimnazială Mărtineni,SCOALA GIMNAZIALA MARTINENI,MĂRTINENI,Principală,
29497588,1441100032,,14201201,63394,63401,1441100032,COVASNA,,,3,Centrul Județean de Resurse și de Asistență Educațională,CENTRUL JUDETEAN DE RESURSE SI DE ASISTENTA EDUCATIONALA,SFÂNTU  GHEORGHE,Kálvin,
,1462101495,1461100232,3032846,64773,64817,1462101495,COVASNA,,,9,Grădinița cu Program Normal Saciova,GRADINITA CU PROGRAM NORMAL SACIOVA,SACIOVA,Principală,
,1462102374,1461100752,461864,65048,65075,1462102374,COVASNA,,,238,Școala Primară Surcea,SCOALA PRIMARA SURCEA,SURCEA,Principală,
,1462103158,1461100553,460638,63633,63651,1462103158,COVASNA,,,55,Școala Gimnazială Lădăuți,SCOALA GIMNAZIALA LADAUTI,LĂDĂUŢI,Principală,
,1462103407,1461100675,459093,63580,63599,1462103407,COVASNA,,,100,Grădinița cu Program Normal Floroaia Mică,GRADINITA CU PROGRAM NORMAL FLOROAIA MICA,ÎNTORSURA BUZĂULUI,Floroaia Mică,
,1462102582,1461100707,461216,64345,64372,1462102582,COVASNA,,,131,Școala Primară Fotoș,SCOALA PRIMARA FOTOS,FOTOŞ,Principală,
,1462102632,1461100707,459718,64345,64363,1462102632,COVASNA,,,137/A,Grădinița cu Program Normal Angheluș,GRADINITA CU PROGRAM NORMAL ANGHELUS,ANGHELUŞ,Principală,
13653109,1461100752,,461326,65048,65057,1461100752,COVASNA,,,798,Școala Gimnazială Nr. 1 Zăbala,SCOALA GIMNAZIALA NR 1 ZABALA,ZĂBALA,Principală,
13652090,1461100571,,461814,64997,65002,1461100571,COVASNA,,,436,"""Școala Gimnazială """"Borbáth Károly"""" Vărghiș""",SCOALA GIMNAZIALA BORBATH KAROLY VARGHIS,VÂRGHIŞ,Principală,
,1462102962,1461100621,460987,64096,64121,1462102962,COVASNA,,,11,Școala Gimnazială Oituz,SCOALA GIMNAZIALA OITUZ,OITUZ,Principală,
14231340,1461100336,,460494,63526,63535,1461100336,COVASNA,,,15,"""Școala Gimnazială """"Avram Iancu"""" Covasna""",SCOALA GIMNAZIALA AVRAM IANCU COVASNA,COVASNA,Mihai Eminescu,
,1462101925,1461100096,461539,64639,64700,1462101925,COVASNA,,,247,"""Școala Primară """"Berde Mózsa"""" Sântionlunca""",SCOALA PRIMARA BERDE MÓZSA SANTIONLUNCA,SÂNTIONLUNCA,Principală,
,1462103217,1461100535,460860,63937,63946,1462103217,COVASNA,,,1,Școala Primară Dobolii de Sus,SCOALA PRIMARA DOBOLII DE SUS,BOROŞNEU MARE,Principală,
4616802,1461100761,,461931,63447,63456,1461100761,COVASNA,,,172,"""Liceul Tehnologic """"Baróti Szabó Dávid"""" Baraolt""",LICEUL TEHNOLOGIC BARÓTI SZABÓ DAVID BARAOLT,BARAOLT,,
13647875,1461100286,,4243650,63740,63759,1461100286,COVASNA,,,9,Liceul Teologic Reformat Târgu Secuiesc,LICEUL TEOLOGIC REFORMAT TARGU SECUIESC,TÂRGU SECUIESC,Ady Endre,
,1462102035,1461100069,459809,64461,64470,1462102035,COVASNA,,,497,Grădinița cu Program Normal Nr. 2 Lemnia,GRADINITA CU PROGRAM NORMAL NR 2 LEMNIA,LEMNIA,Principală,
,1462102356,1461100752,460339,65048,65057,1462102356,COVASNA,,,910,Grădinița cu Program Normal Nr. 3 Zăbala,GRADINITA CU PROGRAM NORMAL NR 3 ZABALA,ZĂBALA,Principală,
,1462101111,1461100327,460444,63447,63474,1462101111,COVASNA,,,115,"""Școala Primară """"Budai József"""" Bodoș""",SCOALA PRIMARA BUDAI JÓZSEF BODOS,BODOŞ,Principală,
16029976,1461100372,,965963,63740,63759,1461100372,COVASNA,,,1,"""Grădinița cu Program Prelungit """"Manócska"""" Târgu Secuiesc""",GRADINITA CU PROGRAM PRELUNGIT MANÓCSKA TARGU SECUIESC,TÂRGU SECUIESC,Grădiniţei,
,1462103303,1461100526,459689,64318,64327,1462103303,COVASNA,,,1124,Grădinița cu Program Normal Nr. 3 Ghelința,GRADINITA CU PROGRAM NORMAL NR 3 GHELINTA,GHELINŢA,Principală,
13653052,1461100146,,460614,63553,63562,1461100146,COVASNA,,,41,"""Școala Gimnazială """"Horn Dávid"""" Comandău""",SCOALA GIMNAZIALA HORN DAVID COMANDAU,COMANDĂU,Principală,
,1462100476,1461100372,1191337,63740,63759,1462100476,COVASNA,,,33,"""Grădinița cu Program Prelungit """"Csipkerózsika"""" Târgu Secuiesc""",GRADINITA CU PROGRAM PRELUNGIT CSIPKERÓZSIKA TARGU SECUIESC,TÂRGU SECUIESC,Rozelor,
,1462102659,1461100684,459756,64390,64416,1462102659,COVASNA,,,178,Grădinița cu Program Normal Iarăș,GRADINITA CU PROGRAM NORMAL IARAS,IARĂŞ,Principală,
4202150,1461100544,,461955,63580,63599,1461100544,COVASNA,,,5,"""Liceul Tehnologic """"Nicolae Bălcescu"""" Întorsura Buzăului""",LICEUL TEHNOLOGIC NICOLAE BALCESCU INTORSURA BUZAULUI,ÎNTORSURA BUZĂULUI,Gheorghe Doja,
4202193,1461100779,,958116,63394,63401,1461100779,COVASNA,,,30,"""Liceul Tehnologic Economic - Administrativ """"Berde Áron"""" Sfântu Gheorghe""",LICEUL TEHNOLOGIC ECONOMIC  ADMINISTRATIV BERDE ARON SFANTU GHEORGHE,SFÂNTU  GHEORGHE,Crângului,
,1462101604,1461100205,459914,65147,64586,1462101604,COVASNA,,,229,Grădinița cu Program Normal Dalnic,GRADINITA CU PROGRAM NORMAL DALNIC,DALNIC,Principală,
,1462101907,1461100096,461486,64639,64657,1462101907,COVASNA,,,33,Școala Primară Bicfalău,SCOALA PRIMARA BICFALAU,BICFALĂU,Principală,
,1462103235,1461100535,459380,63937,63946,1462103235,COVASNA,,,1,Grădinița cu Program Normal Boroșneu Mare,GRADINITA CU PROGRAM NORMAL BOROSNEU MARE,BOROŞNEU MARE,Principală,
17102447,1461100802,,460573,63740,63759,1461100802,COVASNA,,,2,"""Școala Gimnazială """"Molnár Józsiás"""" Târgu Secuiesc""",SCOALA GIMNAZIALA MOLNAR JÓZSIAS TARGU SECUIESC,TÂRGU SECUIESC,Nemere,
13671652,1461100553,,460626,63633,63642,1461100553,COVASNA,,,268,Școala Gimnazială Barcani,SCOALA GIMNAZIALA BARCANI,BARCANI,Principală,
,1462102017,1461100078,459835,64504,64531,1462102017,COVASNA,,,37,Grădinița cu program Normal Malnaș Sat,GRADINITA CU PROGRAM NORMAL MALNAS SAT,MALNAŞ,Felszeg,
,1462102415,1461100752,4240115,65048,65066,1462102415,COVASNA,,,50,Grădinița cu Program Normal Peteni,GRADINITA CU PROGRAM NORMAL PETENI,PETENI,Principală,
,1462102487,1461100734,461723,64871,64899,1462102487,COVASNA,,,85,"""Școala Primară """"Reményik Sándor"""" Alungeni""",SCOALA PRIMARA REMÉNYIK SANDOR ALUNGENI,ALUNGENI,Principală,
,1462101685,1461100182,459287,63777,63795,1462101685,COVASNA,,,67,Grădinița cu Program Normal Aita Medie,GRADINITA CU PROGRAM NORMAL AITA MEDIE,AITA MEDIE,Principală,
,1462102008,1461100078,4243791,64504,64559,1462102008,COVASNA,,,1,Școala Primară Valea Zălanului,SCOALA PRIMARA VALEA ZALANULUI,VALEA ZĂLANULUI,Principală,
16028431,1461100128,,458788,63526,63535,1461100128,COVASNA,,,1,Grădinița cu Program Prelungit Nr. 1 Covasna,GRADINITA CU PROGRAM PRELUNGIT NR 1 COVASNA,COVASNA,Gábor Áron,
,1462103176,1461100553,459201,63633,63651,1462103176,COVASNA,,,55,Grădinița cu Program Normal Lădăuți,GRADINITA CU PROGRAM NORMAL LADAUTI,LĂDĂUŢI,Principală,
,1462102876,1461100648,460822,63893,63919,1462102876,COVASNA,,,140,"""Școala Primară """"Makkai Sándor"""" Olteni""",SCOALA PRIMARA MAKKAI SANDOR OLTENI,OLTENI,Principală,
16434057,1461100657,,461333,65121,64522,1461100657,COVASNA,,,538,"""Școala Gimnazială """"Mikes Ármin"""" Bixad""",SCOALA GIMNAZIALA MIKES ARMIN BIXAD,BIXAD,Ciucului,
,1462101097,1461100327,988991,63447,63492,1462101097,COVASNA,,,91,Grădinița cu Program Normal Micloșoara,GRADINITA CU PROGRAM NORMAL MICLOSOARA,MICLOŞOARA,Principală,
,1462102926,1461100621,458829,64096,64103,1462102926,COVASNA,,,521,Grădinița cu Program Prelungit Brețcu,GRADINITA CU PROGRAM PRELUNGIT BRETCU,BREŢCU,Școlii,
,1462101328,1461100277,461010,64130,64167,1462101328,COVASNA,,,58,Școala Primară Imeni,SCOALA PRIMARA IMENI,IMENI,Principală,
,1462103253,1461100535,459419,63937,63973,1462103253,COVASNA,,,1,Grădinița cu Program Normal Nr. 1 Leț,GRADINITA CU PROGRAM NORMAL NR 1 LET,LEŢ,Principală,
