COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
33242264,1261205179,,,54975,54984,1261205179,CLUJ,,,11H,"""GRĂDINIȚA CU PROGRAM PRELUNGIT """"MAGIC LAND ONE"""" CLUJ-NAPOCA""",GRADINITA CU PROGRAM PRELUNGIT MAGIC LAND ONE CLUJ NAPOCA,CLUJ-NAPOCA,Borhanciului,
,1262101168,1261103482,120440262,59826,59871,1262101168,CLUJ,,,,"""ȘCOALA PRIMARĂ SÂNTIOANA"," COM. ȚAGA""",SCOALA PRIMARA SANTIOANA COM TAGA,SÂNTIOANA,
17990026,1261104863,,121232624,55384,55393,1261104863,CLUJ,,,4,ȘCOALA PROFESIONALĂ GHERLA,SCOALA PROFESIONALA GHERLA,GHERLA,Andrei Mureșanu,
,1262104198,1261104904,,54975,54984,1262104198,CLUJ,,,87,"""GRĂDINIȚA CU PROGRAM PRELUNGIT """"MĂMĂRUȚA"""" - STRUCTURA 1 CLUJ-NAPOCA""",GRADINITA CU PROGRAM PRELUNGIT MAMARUTA  STRUCTURA 1 CLUJ NAPOCA,CLUJ-NAPOCA,Vuia Traian,
4779010,1251104614,,121121019,55259,55268,1251104614,CLUJ,,,23,CLUBUL COPIILOR TURDA,CLUBUL COPIILOR TURDA,TURDA,Dr. Ion Ratiu,
18004528,1261103265,,120438233,57742,57751,1261103265,CLUJ,,,413A,"""ȘCOALA GIMNAZIALĂ FRATA"," COM. FRATA""",SCOALA GIMNAZIALA FRATA COM FRATA,FRATA,
,1262100696,1261104705,,55776,55794,1262100696,CLUJ,,,68,"""GRĂDINIȚA CU PROGRAM NORMAL AȘCHILEU MIC"," COM. AȘCHILEU""",GRADINITA CU PROGRAM NORMAL ASCHILEU MIC COM ASCHILEU,ĂŞCHILEU MIC,
,1262100434,1261103559,120439225,57350,57396,1262100434,CLUJ,,,,"""ȘCOALA GIMNAZIALĂ CARA"," COM. COJOCNA""",SCOALA GIMNAZIALA CARA COM COJOCNA,CARA,
,1262101435,1261103758,120442492,58552,58570,1262101435,CLUJ,,,,"""GRĂDINIȚA CU PROGRAM NORMAL BUNEȘTI CĂTUN"," COM. MINTIU GHERLII""",GRADINITA CU PROGRAM NORMAL BUNESTI CATUN COM MINTIU GHERLII,BUNEŞTI,
17965669,1261104985,,120099817,54975,54984,1261104985,CLUJ,,,3-C,"""GRĂDINIȚA CU PROGRAM PRELUNGIT """"TRENULEȚUL VESELIEI"""" CLUJ-NAPOCA""",GRADINITA CU PROGRAM PRELUNGIT TRENULETUL VESELIEI CLUJ NAPOCA,CLUJ-NAPOCA,Câmpeni,
