COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
,1662103951,1661104414,,72926,72944,1662103951,DOLJ,,,,GRADINITA CU PROGRAM NORMAL ZANOAGA,GRADINITA CU PROGRAM NORMAL ZANOAGA,ZĂNOAGA,,
17350663,1661104997,,480846,73629,73638,1661104997,DOLJ,,,,SCOALA GIMNAZIALA PIELESTI,SCOALA GIMNAZIALA PIELESTI,PIELEŞTI,,
16414858,1661105641,,480884,74907,73683,1661105641,DOLJ,,,2,SCOALA GIMNAZIALA GHIDICI,SCOALA GIMNAZIALA GHIDICI,GHIDICI,EMIL NAICULESCU,
,1662103571,1661106045,,73013,73022,1662103571,DOLJ,,,,"""GRADINITA CU PROGRAM NORMAL """"ALBA CA ZAPADA"""" MACESU DE SUS""",GRADINITA CU PROGRAM NORMAL ALBA CA ZAPADA MACESU DE SUS,MĂCEŞU DE SUS,,
,1662100378,1661101899,,70352,70389,1662100378,DOLJ,,,,SCOALA GIMNAZIALA CIUPERCENII VECHI,SCOALA GIMNAZIALA CIUPERCENII VECHI,CIUPERCENII VECHI,,
,1662101361,1661101881,,71457,71509,1662101361,DOLJ,,,,SCOALA GIMNAZIALA SALCUTA-CALOPAR,SCOALA GIMNAZIALA SALCUTA CALOPAR,SĂLCUŢA,,
15123966,1661105917,,481280,74171,74180,1661105917,DOLJ,,,,SCOALA GIMNAZIALA SECU,SCOALA GIMNAZIALA SECU,SECU,,
,1662102629,1661104355,,73068,73095,1662102629,DOLJ,,,,SCOALA PRIMARA PREAJBA,SCOALA PRIMARA PREAJBA,PREAJBA,,
,1662100704,1661104798,,74554,74572,1662100704,DOLJ,,,,GRADINITA CU PROGRAM NORMAL URZICA MARE,GRADINITA CU PROGRAM NORMAL URZICA MARE,URZICA MARE,,
31439945,1661205707,,987987,69900,69919,1661205707,DOLJ,,,9,"""GRADINITA CU PROGRAM NORMAL """"AXIA"""" CRAIOVA""",GRADINITA CU PROGRAM NORMAL AXIA CRAIOVA,CRAIOVA,MATEI MILLO,
,1662100595,1661104943,,72221,72267,1662100595,DOLJ,,,,SCOALA PRIMARA PADEA,SCOALA PRIMARA PADEA,PADEA,,
15057510,1661104346,,480078,72506,72515,1661104346,DOLJ,,,,SCOALA GIMNAZIALA GIUBEGA,SCOALA GIMNAZIALA GIUBEGA,GIUBEGA,,
,1662101533,1661105112,,71126,71135,1662101533,DOLJ,,,,GRADINITA CU PROGRAM NORMAL BRALOSTITA,GRADINITA CU PROGRAM NORMAL BRALOSTITA,BRALOŞTIŢA,,
,1662101189,1661106104,,71607,71616,1662101189,DOLJ,,,,SCOALA GIMNAZIALA NR. 1 CALARASI,SCOALA GIMNAZIALA NR 1 CALARASI,CĂLĂRAŞI,,
,1662100143,1661105103,,71260,71279,1662100143,DOLJ,,,,GRADINITA CU PROGRAM NORMAL NR. 1 BREASTA,GRADINITA CU PROGRAM NORMAL NR 1 BREASTA,BREASTA,,
,1662101551,1661105112,,71126,71180,1662101551,DOLJ,,,,SCOALA GIMNAZIALA VALEA FANTANILOR,SCOALA GIMNAZIALA VALEA FANTANILOR,VALEA FÂNTÂNILOR,,
17123350,1661105121,,481852,70414,70469,1661105121,DOLJ,,,,SCOALA GIMNAZIALA FRATOSTITA,SCOALA GIMNAZIALA FRATOSTITA,FRATOŞTIŢA,"""BISERICII"," NR. 8"""
,1662103494,1661104988,,70316,70325,1662103494,DOLJ,,,,"""GRADINITA CU PROGRAM PRELUNGIT NR. 9 """"AMZA PELLEA"""" BAILESTI""",GRADINITA CU PROGRAM PRELUNGIT NR 9 AMZA PELLEA BAILESTI,BĂILEŞTI,,
,1662104111,1661105953,,73317,73326,1662104111,DOLJ,,,,GRADINITA CU PROGRAM NORMAL NR. 2 MARSANI,GRADINITA CU PROGRAM NORMAL NR 2 MARSANI,MÂRŞANI,,
,1662103725,1661104812,,71199,71233,1662103725,DOLJ,,,,GRADINITA CU PROGRAM NORMAL PRUNET,GRADINITA CU PROGRAM NORMAL PRUNET,PRUNET,,
,1662100912,1661104658,,72463,72490,1662100912,DOLJ,,,,GRADINITA CU PROGRAM NORMAL ZAVAL,GRADINITA CU PROGRAM NORMAL ZAVAL,ZĂVAL,,
,1662103933,1661104414,,72926,72935,1662103933,DOLJ,,,,GRADINITA CU PROGRAM NORMAL NR. 2 LEU,GRADINITA CU PROGRAM NORMAL NR 2 LEU,LEU,,
4711600,1661101913,,478647,73736,73745,1661101913,DOLJ,,,21,"""LICEUL TEORETIC """"GEORGE ST. MARINCU"""" POIANA MARE""",LICEUL TEORETIC GEORGE ST MARINCU POIANA MARE,POIANA MARE,M.KOGALNICEANU,
15057501,1661105501,,480420,73031,73040,1661105501,DOLJ,,,,"""SCOALA GIMNAZIALA """"STEFAN ISPAS"""" MAGLAVIT""",SCOALA GIMNAZIALA STEFAN ISPAS MAGLAVIT,MAGLAVIT,,
15057447,1661101836,,482246,70094,70101,1661101836,DOLJ,,,,"""SCOALA GIMNAZIALA """"ELIZA OPRAN"""" ISALNITA""",SCOALA GIMNAZIALA ELIZA OPRAN ISALNITA,IŞALNIŢA,,
15153770,1661104536,,481395,74359,74368,1661104536,DOLJ,,,,SCOALA GIMNAZIALA TERPEZITA,SCOALA GIMNAZIALA TERPEZITA,TERPEZIŢA,,
,1662103553,1661105632,,74732,74741,1662103553,DOLJ,,,,GRADINITA CU PROGRAM NORMAL VARTOP,GRADINITA CU PROGRAM NORMAL VARTOP,VÂRTOP,,
,1662100351,1661105555,,73594,73601,1662100351,DOLJ,,,,GRADINITA CU PROGRAM NORMAL NR. 1 PERISOR,GRADINITA CU PROGRAM NORMAL NR 1 PERISOR,PERIŞOR,,
,1662101343,1661105252,,73102,73166,1662101343,DOLJ,,,,SCOALA GIMNAZIALA NEGOIESTI,SCOALA GIMNAZIALA NEGOIESTI,NEGOIEŞTI,,
,1662102602,1661104355,,73068,73077,1662102602,DOLJ,,,,SCOALA GIMNAZIALA MALU MARE,SCOALA GIMNAZIALA MALU MARE,MALU MARE,,
,1662100767,1661104328,,71536,71554,1662100767,DOLJ,,,,GRADINITA CU PROGRAM NORMAL CLEANOV,GRADINITA CU PROGRAM NORMAL CLEANOV,CLEANOV,,
14706767,1661104328,,479524,71536,71545,1661104328,DOLJ,,,,SCOALA GIMNAZIALA CARPEN,SCOALA GIMNAZIALA CARPEN,CARPEN,,
,1662103232,1661104477,,69900,69919,1662103232,DOLJ,,,,GRADINITA CU PROGRAM NORMAL NR. 18 CRAIOVA,GRADINITA CU PROGRAM NORMAL NR 18 CRAIOVA,CRAIOVA,,
15001560,1661105329,,478790,70673,70682,1661105329,DOLJ,,,,SCOALA GIMNAZIALA AMARASTII DE SUS,SCOALA GIMNAZIALA AMARASTII DE SUS,AMĂRĂŞTII DE SUS,,
,1662102181,1661105121,,70414,70469,1662102181,DOLJ,,,,SCOALA PRIMARA RUDARI,SCOALA PRIMARA RUDARI,FRATOŞTIŢA,,
15013408,1661104812,,479196,71199,71206,1661104812,DOLJ,,,,SCOALA GIMNAZIALA BRATOVOESTI,SCOALA GIMNAZIALA BRATOVOESTI,BRATOVOEŞTI,,
,1662101578,1661105112,,71126,71144,1662101578,DOLJ,,,,GRADINITA CU PROGRAM NORMAL CIOCANELE,GRADINITA CU PROGRAM NORMAL CIOCANELE,CIOCANELE,,
,1662102986,1661104364,,69900,69919,1662102986,DOLJ,,,,GRADINITA CU PROGRAM NORMAL NR. 16 CRAIOVA,GRADINITA CU PROGRAM NORMAL NR 16 CRAIOVA,CRAIOVA,,
,1662100292,1661105442,,72677,72720,1662100292,DOLJ,,,,SCOALA PRIMARA MALAESTI,SCOALA PRIMARA MALAESTI,MĂLĂEŞTI,,
15006265,1661104717,,481113,73996,74000,1661104717,DOLJ,,,,SCOALA GIMNAZIALA SADOVA,SCOALA GIMNAZIALA SADOVA,SADOVA,DAMIAN,
,1662100939,1661105234,,71956,71992,1662100939,DOLJ,,,,GRADINITA CU PROGRAM NORMAL LOCUSTENI,GRADINITA CU PROGRAM NORMAL LOCUSTENI,LOCUSTENI,,
99,1661205033,,9999333,69900,69919,1661205033,DOLJ,,,,"""GRADINITA CU PROGRAM NORMAL """"MADONA DUDU"""" CRAIOVA""",GRADINITA CU PROGRAM NORMAL MADONA DUDU CRAIOVA,CRAIOVA,CAMPIA ISLAZ,
,1662103915,1661105008,,72579,72597,1662103915,DOLJ,,,,SCOALA GIMNAZIALA COMOSTENI,SCOALA GIMNAZIALA COMOSTENI,COMOŞTENI,,
17104804,1661104979,,1255042,69900,69919,1661104979,DOLJ,,,,"""GRADINITA CU PROGRAM PRELUNGIT """"CASTELUL FERMECAT"""" CRAIOVA""",GRADINITA CU PROGRAM PRELUNGIT CASTELUL FERMECAT CRAIOVA,CRAIOVA,,
,1662102294,1661104667,,74616,74689,1662102294,DOLJ,,,,GRADINITA CU PROGRAM NORMAL SUHARU,GRADINITA CU PROGRAM NORMAL SUHARU,SUHARU,,
,1662100333,1661105555,,73594,73601,1662100333,DOLJ,,,,SCOALA PRIMARA PERISORU NOU,SCOALA PRIMARA PERISORU NOU,PERIŞOR,,
,1662101325,1661105252,,73102,73120,1662101325,DOLJ,,,,GRADINITA CU PROGRAM NORMAL BODAIESTI,GRADINITA CU PROGRAM NORMAL BODAIESTI,BODĂIEŞTI,,
,1662102665,1661105157,,73923,73932,1662102665,DOLJ,,,,GRADINITA CU PROGRAM NORMAL ROBANESTII DE JOS,GRADINITA CU PROGRAM NORMAL ROBANESTII DE JOS,ROBĂNEŞTII DE JOS,,
,1662100749,1661104328,,71536,71545,1662100749,DOLJ,,,,GRADINITA CU PROGRAM NORMAL CARPEN,GRADINITA CU PROGRAM NORMAL CARPEN,CARPEN,,
15057544,1661104798,,481527,74554,74563,1661104798,DOLJ,,,,"""SCOALA GIMNAZIALA """"BARBU IONESCU"""" URZICUTA""",SCOALA GIMNAZIALA BARBU IONESCU URZICUTA,URZICUŢA,,
15115564,1661101967,,480028,72276,72285,1661101967,DOLJ,,,202,SCOALA GIMNAZIALA FARCAS,SCOALA GIMNAZIALA FARCAS,FĂRCAŞ,,
,1662103214,1661105528,,70637,70664,1662103214,DOLJ,,,,SCOALA GIMNAZIALA PRAPOR,SCOALA GIMNAZIALA PRAPOR,PRAPOR,,
,1662100107,1661104821,,73709,73727,1662100107,DOLJ,,,,SCOALA PRIMARA CASTRELE TRAIANE,SCOALA PRIMARA CASTRELE TRAIANE,CASTRELE TRAIANE,,
,1662103458,1661105998,,69964,70021,1662103458,DOLJ,,,,SCOALA GIMNAZIALA PALILULA,SCOALA GIMNAZIALA PALILULA,PALILULA,,
15001594,1661104495,,480119,72409,72418,1661104495,DOLJ,,,109,SCOALA GIMNAZIALA GHERCESTI,SCOALA GIMNAZIALA GHERCESTI,GHERCEŞTI,EROILOR,
,1662104156,1661105537,,72007,72016,1662104156,DOLJ,,,,SCOALA GIMNAZIALA NR. 3 DABULENI,SCOALA GIMNAZIALA NR 3 DABULENI,DĂBULENI,,
,1662100482,1661104373,,74949,71242,1662100482,DOLJ,,,,GRADINITA CU PROGRAM NORMAL ROJISTE,GRADINITA CU PROGRAM NORMAL ROJISTE,ROJIŞTE,,
