COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
2613869,2761102521,,1130515,120860,120879,2761102521,NEAMŢ,,,46,"""LICEUL TEHNOLOGIC """"VASILE SAV"""""," MUNICIPIUL ROMAN""",LICEUL TEHNOLOGIC VASILE SAV MUNICIPIUL ROMAN,ROMAN,REPUBLICII,
,2762103852,2761100112,,121340,121368,2762103852,NEAMŢ,,,594,"""ȘCOALA GIMNAZIALĂ NR. 2", SAT TELEC," COMUNA BICAZU ARDELEAN""",SCOALA GIMNAZIALA NR 2 SAT TELEC COMUNA BICAZU ARDELEAN,TELEC,SAT TELEC
17442872,2761102584,,619629,123228,123237,2761102584,NEAMŢ,,,233BIS,"""ȘCOALA GIMNAZIALĂ"," COMUNA MOLDOVENI""",SCOALA GIMNAZIALA COMUNA MOLDOVENI,MOLDOVENI,PRINCIPALĂ,
2613273,2761102313,,1182180,120726,120735,2761102313,NEAMŢ,,,165,"""COLEGIUL TEHNIC """"GHEORGHE CARTIANU"""""," MUNICIPIUL PIATRA-NEAMȚ""",COLEGIUL TEHNIC GHEORGHE CARTIANU MUNICIPIUL PIATRA NEAMT,PIATRA-NEAMŢ,TRAIAN,
,2762103196,2761100157,,120726,120735,2762103196,NEAMŢ,,,80,"""GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 6"," MUNICIPIUL PIATRA-NEAMȚ""",GRADINITA CU PROGRAM PRELUNGIT NR 6 MUNICIPIUL PIATRA NEAMT,PIATRA-NEAMŢ,CUZA VODĂ,
,2762103626,2761102498,,120771,120815,2762103626,NEAMŢ,,,71,"""ȘCOALA GIMNAZIALĂ NR. 2", SAT IZVOARE," COMUNA DUMBRAVA ROȘIE""",SCOALA GIMNAZIALA NR 2 SAT IZVOARE COMUNA DUMBRAVA ROSIE,IZVOARE,IZVOARE
,2762103445,2761101895,619514,123175,123219,2762103445,NEAMŢ,,,120A,"""ȘCOALA PRIMARĂ ITRINEŞTI"," COMUNA MĂRGINENI""",SCOALA PRIMARA ITRINESTI COMUNA MARGINENI,ITRINEŞTI,,
,2762103115,2761103011,,120888,120897,2762103115,NEAMŢ,,,104,"""GRĂDINIȚA CU PROGRAM PRELUNGIT"," COMUNA CORDUN""",GRADINITA CU PROGRAM PRELUNGIT COMUNA CORDUN,CORDUN,VASILE ALECSANDRI,
,2762101104,2761101755,,122864,122882,2762101104,NEAMŢ,,,294,"""GRĂDINIȚA CU PROGRAM NORMAL NR. 1", SAT BRADU," COMUNA GRINȚIEȘ""",GRADINITA CU PROGRAM NORMAL NR 1 SAT BRADU COMUNA GRINTIES,BRADU,PRINCIPALĂ
19386698,2761102679,,270619253,123013,123031,2761102679,NEAMŢ,,,1,"""ȘCOALA GIMNAZIALĂ BĂLUȘEȘTI"," COMUNA ICUȘEȘTI""",SCOALA GIMNAZIALA BALUSESTI COMUNA ICUSESTI,BĂLUŞEŞTI,PRINCIPALĂ,
,2762103359,2761101859,,123479,123488,2762103359,NEAMŢ,,,161,"""ȘCOALA PRIMARĂ"," COMUNA PIATRA ȘOIMULUI""",SCOALA PRIMARA COMUNA PIATRA SOIMULUI,PIATRA ŞOIMULUI,ŞOIMULUI,
17466839,2761102417,,1129463,120726,120735,2761102417,NEAMŢ,,,32,"""ȘCOALA GIMNAZIALĂ NR. 5"," MUNICIPIUL PIATRA-NEAMȚ""",SCOALA GIMNAZIALA NR 5 MUNICIPIUL PIATRA NEAMT,PIATRA-NEAMŢ,01.dec.18,
,2762100415,2761102806,791922,120968,120977,2762100415,NEAMŢ,,,3,"""GRĂDINIȚA CU PROGRAM PRELUNGIT """"MOLDOCIM"""""," ORAȘ BICAZ""",GRADINITA CU PROGRAM PRELUNGIT MOLDOCIM ORAS BICAZ,BICAZ,TEILOR,
,2762103291,2761102218,,125061,125089,2762103291,NEAMŢ,,,87A,"""GRĂDINIȚA CU PROGRAM NORMAL TRAIAN"," COMUNA ZĂNEȘTI""",GRADINITA CU PROGRAM NORMAL TRAIAN COMUNA ZANESTI,TRAIAN,CĂRŢII,
,2762103879,2761102209,,121297,121331,2762103879,NEAMŢ,,,48A,"""ȘCOALA GIMNAZIALĂ NR. 3", SAT IVANEŞ," COMUNA BICAZ-CHEI""",SCOALA GIMNAZIALA NR 3 SAT IVANES COMUNA BICAZ CHEI,IVANEŞ,IVANEŞ
17686702,2761101868,,621787,125150,124171,2761101868,NEAMŢ,,,,"""ȘCOALA GIMNAZIALĂ"," COMUNA GÂDINȚI""",SCOALA GIMNAZIALA COMUNA GADINTI,GÂDINŢI,,
2613281,2761101687,,113766,120726,120735,2761101687,NEAMŢ,,,1,"""COLEGIUL TEHNIC DE TRANSPORTURI"," MUNICIPIUL PIATRA-NEAMȚ""",COLEGIUL TEHNIC DE TRANSPORTURI MUNICIPIUL PIATRA NEAMT,PIATRA-NEAMŢ,SOARELUI,
17409574,2761102887,,617619,122285,122294,2761102887,NEAMŢ,,,80,"""ȘCOALA GIMNAZIALĂ"," COMUNA DOBRENI""",SCOALA GIMNAZIALA COMUNA DOBRENI,DOBRENI,LASCAR CATARGIU,
14087083,2761102792,,270619992,123424,123433,2761102792,NEAMŢ,,,25,"""LICEUL TEHNOLOGIC"," COMUNA PETRICANI""",LICEUL TEHNOLOGIC COMUNA PETRICANI,PETRICANI,PRINCIPALĂ,
,2762101384,2761101633,,120726,120735,2762101384,NEAMŢ,,,34,"""GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 10"," MUNICIPIUL PIATRA-NEAMT""",GRADINITA CU PROGRAM PRELUNGIT NR 10 MUNICIPIUL PIATRA NEAMT,PIATRA-NEAMŢ,MĂRĂŞEŞTI,
17502230,2761102616,,270616550,121796,121858,2761102616,NEAMŢ,,,567,"""LICEUL TEHNOLOGIC NISIPOREȘTI"," COMUNA BOTEȘTI""",LICEUL TEHNOLOGIC NISIPORESTI COMUNA BOTESTI,NISIPOREŞTI,str. Principala E85,
14143957,2761102652,,1249005,125016,125025,2761102652,NEAMŢ,,,198,"""LICEUL TEHNOLOGIC """"ARHIMANDRIT CHIRIAC NICOLAU"""""," COMUNA VÂNĂTORI-NEAMȚ""",LICEUL TEHNOLOGIC ARHIMANDRIT CHIRIAC NICOLAU COMUNA VANATORI NEAMT,VÂNĂTORI-NEAMŢ,str. Stefan cel Mare,
,2762100659,2761100175,,120726,120735,2762100659,NEAMŢ,,,35,"""GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 5"," MUNICIPIUL PIATRA-NEAMT""",GRADINITA CU PROGRAM PRELUNGIT NR 5 MUNICIPIUL PIATRA NEAMT,PIATRA-NEAMŢ,01.dec.18,
33537702,2751102086,,1324087,124206,124215,2751102086,NEAMŢ,,,54,"""CLUBUL COPIILOR"," COMUNA SĂBĂOANI""",CLUBUL COPIILOR COMUNA SABAOANI,SĂBĂOANI,ORIZONTULUI,
,2762100478,2761100026,,124073,124108,2762100478,NEAMŢ,,,530,"""ȘCOALA GIMNAZIALĂ NR. 1", SAT SILIŞTEA," COMUNA ROMÂNI""",SCOALA GIMNAZIALA NR 1 SAT SILISTEA COMUNA ROMANI,SILIŞTEA,PRINCIPALĂ
,2762103504,2761102688,,122613,122631,2762103504,NEAMŢ,,,119B,"""GRĂDINIȚA CU PROGRAM NORMAL BUDEȘTI"," COMUNA FĂUREI""",GRADINITA CU PROGRAM NORMAL BUDESTI COMUNA FAUREI,BUDEŞTI,DS285,
,2762103816,2761102738,,121652,121705,2762103816,NEAMŢ,,,,"""ȘCOALA PRIMARĂ NR. 2", SAT PÂRÂUL PÂNTEI," COMUNA BORCA""",SCOALA PRIMARA NR 2 SAT PARAUL PANTEI COMUNA BORCA,PÂRÂUL PÂNTEI,
,2762101244,2761102539,,121876,121910,2762101244,NEAMŢ,,,,"""ȘCOALA PRIMARĂ CUCI"," COMUNA BOZIENI""",SCOALA PRIMARA CUCI COMUNA BOZIENI,CUCI,FERMEI,
17474432,2761102358,,615128,121153,121162,2761102358,NEAMŢ,,,1,"""ȘCOALA GIMNAZIALĂ"," COMUNA BAHNA""",SCOALA GIMNAZIALA COMUNA BAHNA,BAHNA,PRINCIPALĂ,
17524468,2761103002,,270622341,124411,124420,2761103002,NEAMŢ,,,27,"""ȘCOALA GIMNAZIALĂ """"DR. EMANUIEL RIGLER"""""," COMUNA ȘTEFAN CEL MARE""",SCOALA GIMNAZIALA DR EMANUIEL RIGLER COMUNA STEFAN CEL MARE,ŞTEFAN CEL MARE,PRINCIPALĂ,
17191592,2761101651,,270614837,121055,121064,2761101651,NEAMŢ,,,2,"""ȘCOALA GIMNAZIALĂ """"ION CREANGĂ"""""," ORAȘ TÂRGU NEAMȚ""",SCOALA GIMNAZIALA ION CREANGA ORAS TARGU NEAMT,TÂRGU NEAMŢ,MIHAIL SADOVEANU,
