COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
21971677,561101297,,363830,31128,31137,561101297,BIHOR,,,242,ȘCOALA GIMNAZIALĂ NR. 1 SÎRBI,SCOALA GIMNAZIALA NR 1 SIRBI,SÂRBI,sat Sîrbi,,
,562102393,561101433,1197381,31609,31627,562102393,BIHOR,,,,ȘCOALA PRIMARĂ NR.2 MIERAG,SCOALA PRIMARA NR 2 MIERAG,MIERAG,NR.24,,
,562100726,561101659,1231838,26564,26573,562100726,BIHOR,,,3,GRĂDINIȚA CU PROGRAM NORMAL NR. 2 ORADEA,GRADINITA CU PROGRAM NORMAL NR 2 ORADEA,ORADEA,Ialomitei,,
,562100893,561108657,365216,26564,26573,562100893,BIHOR,,,106/A,"""ȘCOALA GIMNAZIALĂ """"JUHASZ GYULA"""" ORADEA""",SCOALA GIMNAZIALA JUHASZ GYULA ORADEA,ORADEA,str. Matei Corvin,,
19221843,561101908,,363816,31057,31066,561101908,BIHOR,,,105,ŞCOALA GIMNAZIALĂ NR.1 SÂMBĂTA,SCOALA GIMNAZIALA NR 1 SAMBATA,SÂMBĂTA,,,
21568764,561108413,,363763,30988,30997,561108413,BIHOR,,,,"""ŞCOALA GIMNAZIALĂ """"BALASKO NANDOR"""" SĂLACEA""",SCOALA GIMNAZIALA BALASKO NANDOR SALACEA,SĂLACEA,"""Sat Sălacea", nr.31,""""
,562106004,561101677,995231,28889,28923,562106004,BIHOR,,,,ȘCOALA PRIMARĂ NR. 2 POIANA,SCOALA PRIMARA NR 2 POIANA,POIANA,,,
21469299,561100848,,363256,30336,30345,561100848,BIHOR,,,,ȘCOALA GIMNAZIALĂ NR. 1 PIETROASA,SCOALA GIMNAZIALA NR 1 PIETROASA,PIETROASA,"""sat Pietroasa"," nr. 216""",
,562103444,561108544,1193012,30229,30256,562103444,BIHOR,,,143,GRĂDINIŢA CU PROGRAM NORMAL NR. 3 HODIŞEL,GRADINITA CU PROGRAM NORMAL NR 3 HODISEL,HODIŞEL,Principala,,
,562104531,561101103,358653,29038,29047,562104531,BIHOR,,,120,GRĂDINIȚA CU PROGRAM NORMAL NR.1 DERNA,GRADINITA CU PROGRAM NORMAL NR 1 DERNA,DERNA,,,
